investor,commit,deal_size,invite,rating,int_rate,covenants,total_fees,fee_share,prior_tier,invite_tier,tier_change,fee_percent,invite_percent
Goldman Sachs,Commit,300,40,2,Market,2,30,0.0,Participant,Bookrunner,Promoted,0.0,0.13333333333333333
Deutsche Bank,Decline,1200,140,2,Market,2,115,20.1,Bookrunner,Participant,Demoted,0.17478260869565218,0.11666666666666667
Bank of America,Commit,900,130,3,Market,2,98,24.4,Bookrunner,Bookrunner,None,0.24897959183673468,0.14444444444444443
Wells Fargo,Commit,1200,210,2,Market,2,165,56.6,Bookrunner,Bookrunner,None,0.343030303030303,0.175
Wells Fargo,Commit,900,90,3,Market,3,161,38.5,Bookrunner,Participant,Demoted,0.2391304347826087,0.1
Deutsche Bank,Commit,1400,240,5,Below,1,188,9.8,Bookrunner,Bookrunner,None,0.05212765957446809,0.17142857142857143
Wells Fargo,Commit,2200,250,7,Market,0,169,3.4,Participant,Participant,None,0.020118343195266272,0.11363636363636363
MUFG Union,Commit,400,60,4,Market,1,22,3.2,Bookrunner,Bookrunner,None,0.14545454545454548,0.15
MUFG Union,Commit,1100,160,8,Market,0,146,34.0,Bookrunner,Bookrunner,None,0.2328767123287671,0.14545454545454545
Wells Fargo,Commit,1200,210,2,Market,1,48,13.2,Bookrunner,Bookrunner,None,0.27499999999999997,0.175
Bank of America,Commit,600,90,2,Below,1,25,3.6,Bookrunner,Bookrunner,None,0.14400000000000002,0.15
Goldman Sachs,Commit,1700,300,9,Below,1,581,147.6,Bookrunner,Bookrunner,None,0.25404475043029257,0.17647058823529413
Bank of America,Commit,1200,240,1,Below,2,79,26.5,Bookrunner,Bookrunner,None,0.33544303797468356,0.2
Goldman Sachs,Decline,600,80,3,Market,2,56,1.1,Bookrunner,Bookrunner,None,0.019642857142857146,0.13333333333333333
MUFG Union,Decline,700,70,2,Below,2,102,24.1,Bookrunner,Participant,Demoted,0.2362745098039216,0.1
